snippet,article - date
"  jewish  history   HARRY  Opperman  talks  on  History  oi  me   Jews  (Part  6):  Jews  in  the  Modem  Age”,  COA.  October  2,  1pm.  9389  0035. ",2000-09-15
"  Jewish  history   HARRY  Opperman  talks  on  History  ot  the  Jews  (Part  6):  Jews  in  the  Modern  Age”,  COA.  October  2,  1pm.  9389  0035. ",2000-09-22
"  Jewish  history   HISTOKY  ot  the  Jews  (pan  iour;  —  jews  unuei   Islam,  presented  by  Harry  Opperman,  COA.  August  28,1pm.  9389  0035. ",2000-08-18
"  PARTISAN   SAM  UPSKi   AS  a  delegate  at  last  week’s  World  Economic  Forum  (boo,  hiss!)  who,  like  many  others  inside  the  cabal  of  capitalism,  has  serious  reservations  about  globalisation  (hurray,  applause!),  one  recurring  theme  is  worth  noting  this  Rosh   Hashana.   Quite  a  segue.  From  globalisation  to  repen  tance.  Well,  not  quite.  The  theme  I  had  in  mind  was  the  WEFs  repeated  emphasis  in  Melbourne  last  week  —  whether  it  came  from  Bill  Gates  or  the  Singapore  technocrats—on  the  importance  of  “lifelong  learning""  in  the  new  economy.  Amazing.  CEOs  and  government  leaders  are  dis  covering  what  the  rabbis  have  known,  preached  and  practised  for  about  25  centuries.  “Men  darf   lemen""—”  We  have  to  learn.”   The  rabbis,  of  course,  meant  learning  Torah.  And  they  meant  learning  it  all  life  long.  The  wiser  Jews  of  modernity,  such  as  Rabbi  Samson  Raphael  Hirsch,  turned  this  into  “We  have  to  learn  other  things  as  well  as  Torah”.  But  then,  as  the  20th  century  unfolded,  the  traditional  Jewish  commitment  to  education  became  wide  ly  secularised  (by  the  Zionists  and  Bundists  as  well  as  the  assimilationists)  into  “We  have  to  learn  everything  but  Torah”.   Encouragingly,  in  recent  years,  the  pendulum  has  swung  back,  at  least  somewhat.  The  bur   geoning  of  Jewish  studies  in  Israel  and  the  Diaspora,  a  still  numerically  small  but  influential  generation  of  modern/Orthodox  and  non  Orthodox,  secular  and  religious,  proponents  of  being  Jewishly  literate  as  well  as  secularly  edu  cated,  and  the  multi-media  revolution  itself,  have  all  contributed  to  the  shift  in  attitude.   Which,  as  we  approach  this  globalised  Rosh  Hashana,  leaves  us  where?  With  hope  for  the  Jewish  future,  that’s  where.  Quantitatively  as  well  as  qualitatively.  Globalisation  and  its  dis  contents  offer  Jews  great  opportunities  as  well  as  great  challenges.  For  amidst  all  the  pes  simistic  predictions,  let’s  recall  that  Jews  were  the  first,  and  certainly  the  longest-surviving,  globalised  people  with  “lifelong  learning”  as  a  fundamental.  That  basic  resource,  however   Globalisation  and  assimilation  are  minor-league  dangers.   Provided  we  don't  forget  that  the  one  constant  counter-force  has   been  commitment  to  lifelong  learning.”   buried  under  the  mounds  of  modernity,  is  still  there  to  be  revisited,  built  upon,  and  adapted  for  Jewish  renewal.   There  are  two  traps,  however,  in  how  we  move  to  exploit  our  assets.  The  first  trap  is  to  assume  that  the  vast  majority  of  Jews  under  40  are  university  graduates  and  so  interested  in  the  life  of  the  mind.  In  fact,  the  figures  suggest  that  (in  Australia  at  least)  only  about  half  of  our  younger  generation  are  graduates.  And  while  that’s  a  higher  figure  than  the  general  popula  tion,  it  doesn’t  follow  that  all  are  interested  in  ongoing  education  outside  their  work  roles,  or   that  our  non-graduates  are  uninterested  in  pur  suing  Jewish  studies  in  adulthood.   Still,  let’s  agree  that  we  start  with  a  relatively  well-educated,  if  often  Jewishly  illiterate,  younger  generation.  And  that  graduates  or  not,  everybody  in  the  new  economy  is  going  to  have  to  keep  learning  until  retirement  and  beyond.  Provided  the  community  can  grasp  the  radical  notion,  therefore,  that  continuing  Jewish  educa  tion  (post-dayschool)  is  as  important  to  our  future  as  the  dayschools  were  50  years  ago  (and  still  are  in  large  measure),  we  can  actually  do  something  to  withstand  globalisation’s  threats  to  cultural  and  communal  identity.   The  second  trap,  that  of  knowing  exactly  what  we  have  to  teach  without  trying  to  find  out  what  those  we’re  trying  to  reach  might  want  to  learn,   has  been  eloquently  summarised  by  Rabbi  Irwin  Kula,  who  heads  the  New  York-based  National  Jewish  Centre  for  Learning  and  Leadership.  As  Kula  has  put  it,  the  Jewish  conti  nuity  industry  may  disagree  amongst  them  selves  as  to  what  should  be  transmitted,  but  they  generally  agree  it  means  passing  on  some  predetermined  “essence”  of  Judaism  or  some  “core”  experience  to  save  Diaspora  Jewry  from   the  survival  “crisis”.   But  Kula  then  asks  a  provocative  question  which  we  might  ponder  this  Rosh  Hashana.  What  if  there’s  no  “crisis”  in  Diaspora  Jewish  life,   at  least  in  terms  of  individual  Jewish  identity;  Consider  the  same  data:  while  one  in  every  two  marriages  of  an  American  Jew  is  to  someone  who’s  not  Jewish,  and  while  only  one  third  of  American  Jews  bother  to  belong  to  a  Jewish  organisation,  participate  in  a  synagogue,  or  con  sider  that  travel  to  Israel  matters,  90  percent  told  the  researchers  that  they  were  “proud  to  be   Jewish.”   Now  it’s  easy  to  argue  that  all  that  those  fig  ures  show  is  that  “pride”  in  being  Jewish  today,  in  a  world  where  the  traditional  borders,  physi  cal  and  cultural,  are  breaking  down,  does  not  extend  to  doing  Jewish.  But  it’s  also  possible  to  conclude,  as  does  Kula,  that  measuring  the  vital  ity  and  potential  of  Jewish  life  today  requires   other  criteria.   As  an  example,  he  asks  us  to  imagine  what  the  demographers  of  the  immediate  post-Temple  era  might  have  concluded  if  they  had  had  to  focus  their  attention  on  the  absence  of  animal  sacrifice.  To  quote  from  a  survey  report  circa  300  CE:  “Sacrifice,  and  the  belief  in  its  continued  importance  are  way  down,  thus  Jewish  identity  and  continuity  are  fast  eroding.”   As  with  all  provocative  thinkers  Kula,  leaves  himself  wide  open  on  some  fronts.  But  his  basic  challenge  is  worth  serious  consideration:  name  ly,  that  Judaism  and  Jewish  continuity  have  often  faced  adaptability  and  adjustment  to  trau  matic  change  and  upheaval.   Compared  to  those  experiences,  globalisation  and  assimilation  are  minor-league  dangers.  Provided,  of  course,  we  don’t  forget  that  the  one  constant  counter-force  throughout  has  been  that  commitment  to  “lifelong  learning.”   Shana  torn  umetuka. ",2000-09-22
"  The  wandering  Jew   ASK  THE  RABBI   Rabbi  Raymond  Apple   THERE  is  a  plant  which  bears  the  name  Wan  o  dering  Jew  because  it  is  has  a  tendency  to   spread.  The  name  was  probably  given  with  out  conscious  antisemitic  malice.  There  is  also  a  bird  called  Wandering  Jew,  and  even  a  card  game  and  a  game  of  dice.  However,  in  Christian  legend  there  is  certainly  a  mythical  figure  called  the  Wandering  Jew  who  embod  ies  anti-Jewish  animus.  The  underlying  notion  is  that  the  Jews  are  destined  to  wan  der  and  be  reviled  because  they  rejected   Jesus.   Not  until  the  13th  century  did  it  become  a  clearly  antisemitic  legend,  often  linked  with  the  tradition  that  an  officer  of  the  high  priesthood  struck  Jesus  on  the  way  to  the  ‘'""cross  and  Jesus  condemned  him  to  suffer   punishment  until  the  so-called  second  com  ing.  (“You  will  go  on  forever  until  I  return”  is  what  Jesus  is  said  to  have  told  him.)  The  Wandering  Jew  is  said  to  be  called  Aha  suerus,  the  same  name  as  the  Persian  king  in  the  story  of  Mordechai  and  Esther.   Centuries  of  anti-Jewish  prejudice  inex  orably  conditioned  Christian  communities  to  see  the  Jew  as  a  pathetic  sinner  doomed  by  his  rejection  of  Jesus.  The  Wandering  Jew  vwas  given  different  names  in  different  ver  sions  of  the  story  and  became  the  central  character  in  a  sheaf  of  poems,  novels  and  artistic  and  musical  works,  though  the  tragedy  of  the  Holocaust  has  largely  dis  credited  the  notion.  However,  some  funda  mentalist  Christian  circles  who  hang  on  to  the  story  find  it  hard  to  come  to  terms  with  the  vitality,  dignity  and  creativity  of  the  Jew  ish  people  and  the  vibrancy  of  the  State  of   Israel.   ■  Reprinted  from  Rabbi  Raymond  Apple’s  V  email  list:  torah@greatsynagogue.org.au. ",2000-11-17
"  iewisii  brigade   A  DISCUSSION  of  how  Jews  rescued  Jews  at  the  end  of  World  War  Two,  plus  a  screening  of  the  film  The  Jewish  Brigade,  Sydney  Jewish  Museum.  August  13,3pm.  9360  7999. ",2000-08-04
"  Jewish  news   I  AM  intrigued  that  the  Australian  Jewish  News  devoted  so  much  space  to  the  millennium  and  the  Sydney  Jews  who  observed  it  (AJN  7/1/00).   After  all,  it  may  be  an  important  event  for  our  Christian  friends,  but  has  no  Jewish  significance.  The  mainstream  media  gave  it  saturation  coverage.   Secondly,  it  is  not  the  actual  millennium  of  the  event  it  celebrates.  Thirdly,  why  should  a  Jewish  newspaper  cover  the  celebration  of  a  millennium  which  began  with  massacres  of  Jews  in  Germany  and  elsewhere  (the  Crusades)  and  also  ended  with  massacres  of  Jews  in  Germany  and  elsewhere  (the  Shoah)?   Of  course,  most  Sydney  Jews,  regard  less  of  level  of  Jewish  observance,  watched  the  fireworks.  Some  Sydney  Jews  also  celebrate  Xmas.  Maybe  the  AJN  should  cover  that  as  well.  1  pose  the  question:  is  the  AJN  a  Jewish  news  paper  or  a  newspaper  for  Jews?   Paul  Baram  Bondi,  NSW ",2000-01-21
"  jewisli  history   HISTORY  of  the  Jews  (Part  2)  —  Hellenistic  Age,  presented  by  Max  Wahlhaus.  COA.  May  29,  1pm.  9389  0035. ",2000-05-26
"  iewisli  history   HISTORY  of  the  Jews,  part  one:  The  Biblical  Age,  by  Michael  Binstock,  COA.  April  24,1pm.   9389  0035. ",2000-04-21
"  jewish  history   H1MOKY  of  the  Jews  (Part  Three),  presented  by  Rabbi  Jeffrey  Kamins,  COA.  June  26,  1pm.   9389  0035. ",2000-06-09
"  jewish  history   HISTORY  of  the  Jews  (Part  IIT),  presented  by  Rabbi  Jeffrey  Kamins,  COA.  June  26,  1pm.  9389   0035. ",2000-06-23
"  jewish  history   HISTORY  of  the  Jews  (Part  III),  presented  by  Rabbi  Jeffrey  Kamins,  COA.  June  26,1pm.  9389   0035. ",2000-06-16
"  jewisfa  history   “HISTORY  of  the  Jews  (Part  2)  —  The  Hellenistic  Age”,  presented  by  Max  Wahlhaus.  COA.  May  29,1pm.  9389  0035. ",2000-05-19
"  Jewish  Biistarv   “HISTORY  of  the  Jews,  part  one:  The  Biblical  Age”,  by  Michael  Binstock,  COA.  April  24,  1pm.  93890035. ",2000-04-14
"  Jewish  writing   I  APPRECIATE  Paul  Kraus’  letter  (AJN  23/6/00)  as  it  demonstrates  the  suc  cess  of  one  of  my  aims  in  editing  the  anthology  Enough  Already—to  excite  response  out  of  an  examination  of  the   issues.   In  my  foreword,  I  stated  that  my  motivation  was  to  explore  the  con  cerns  preoccupying  Australian  Jewish  writers,  born  post-war,  in  the  last  ten  years.  I  was  spurred  on  by  Nancy  Keesing’s  remark  in  1978  that  “there  are  not,  and  never  have  been,  many  Australian  Jewish  writers  of  fic   tion”.   Mr  Kraus  seems  to  miss  the  point  when  he  states  that  the  Holocaust  is  a   key  theme.  It  was  not  the  Holocaust  itself,  but  its  shadow  hanging  over  this  generation  of  writers  that  informs  a  large  number  of  stories.  I  wanted  to  probe  the  “experiences,  obsessions  and  angst  of  children  of  survivors”;  the  writings  could  only  have  been  selected  from  the  material  available.   At  no  time  did  I  attempt  a  precon  ceived  approach  to  Jewish  identity.  The  theme  of  identity  was  intended  to  be  loose.  Jewish  artists  and  writers  encompass  the  broadest  diversity.  They  work  in  one  of  the  most  vibrant  ly  multicultural'societies  in  the  world,  and  this  is  reflected.  In  every  genera  tion,  Jewish  artists  have  been  involved  in  the  presentation  of  their  creative  endeavours  in  a  liberating  fashion.  The  same  could  be  said  of  artists  from  other  religious  back  grounds.  Without  Modigliani,  Schiele  and  Philip  Roth,  Western  culture   would  be  the  poorer.  Should  Salman  Rushdie  have  thought  twice?   As  for  his  outrage  at  my  Bar  Mitzvah  of  a  Nazi,  satire  has  been  cru  cial  in  the  armoury  of  Jewish  survival.  Using  this  device,  I  considered  it  valid  to  investigate  the  absurdity  of  German  Jews  who  sought  to  embrace  Nazism,  so  skewed  with  jingoism  had  they  become.  The  paradox  they  rep  resented  lent  itself  to  my  develop  ment  of  a  Kafkaesque  scenario,  root  ed  in  fact.   As  for  borrowing  the  “Nazi  defini  tion  of  Jewish  identity”,  it  was  tongue  in-cheek.  Insensitive,  it  could  be  argued,  but  no  malicious  intent.  It  served  as  a  functional  method  of  explaining  the  inclusion  of  writers  not  Jewish  by  formal  definition.   One  of  my  pleasures  as  former  director  of  the  Sydney  Jewish  Museum  was  the  awakening  of  aware  ness  of  Jewish  roots  among  visitors.  Hence  my  interest  in  including  writ  ers  from  the  edge  of  Judaism,  such  as  Judy  Horocek,  whose  Jewish  father   was  reused  as  a  Catholic.  Is  it  neces   sary  that  my  selection  for  a  Jewish  anthology  be  narrow  and  exclusion  ary  to  “accurately  reflect  contempo  rary  Jewish  life  and  thought”  as  defined  by  Mr  Kraus?   1  invite  him,  and  others  sharing  his  views,  to  explain  how  Enough  Already  inaccurately  reflects  contemporary  Jewish  life  and  thought,  and  how  “this  anthology  does  little  to  promote  Jewish  writing  or  culture  to  the  wider  community”.   Alan  Jacobs  Bondi,  NSW ",2000-07-07
"  Jewish  Care   I  AM  delighted  to  convey  our  warmest  regards  to  Jewish  Community  Services  in  Sydney  at  a  time  when  the  organisation  has  changed  its  name  to  the  new  and  worthy  title,  Jewish  Care.   This  month  Jewish  Care  in  London  celebrates  its  tenth  anniversary.  This  name  spells  out  in  two  words  the  essence  of  our  work,  based  on  the  traditional  responsibility  we  have  as  Jews  in  working  for  social  justice  for  all.  I  know  that  this  too  is  an  accurate  reflection  of  the  work  of  Jewish  Care  in  Sydney.  I  look  forward  to  our  continuing  co-operation  and  salute  you  all.   Lord  Levy   President   Jewish  Care,  London   :  .::::l!&amp;T!TERS  to'  the  Editor  shouId  ..   be  emailed  to:   ::  i'ValHadeff@jewishnews:net.ag  :   v:i6r'fa)fed:to:'9332;.^207:^^"" ",2000-01-07
"  UTILISING  multi-media,  art  and  design  to  take  visitors  on  a  journey  through  the  history  and  major  events  of  Jewish  culture,  a  new  exhibition  has  opened  at  the  Jewish  Museum  of  Australia   in  Melbourne.   Entitled  The  Timeline  of  Jewish  History,  it  was  opened  by  Victorian  Minister  for  the  Arts  and  Education  Mary  Delahunty  and  museum  patron  Sir  Zelman  Cowan.  The  exhibition  incorporates  300  filmic  scenes  displayed  in  conjunction  with  text,  images  and  objects  to  explore  a  number  of  themes,  including  the  origins  of  the  Jews  as  a  nation  and  the  diversity  of  Jewish  history  and   culture.   Senator  Kay  Patterson,  Sir  Zelman  Cowen,  Pauline   Gandei  and  MLC  Andrea  Coote.   Jewish  Museum  of  Australia  director  Helen  Light  said  they  had  formulated  the  exhibition  for  a  broad  audience.  “We  developed  the  exhibition  so  that  it  is  engaging,  entertaining  and  relevant  to  the  wider  community,  as  well  as  the  Jewish  community.  The  challenge  was  to  encompass  a  rich,  complex,  long  and  dynamic  history  in  a  small,  permanent  exhibition  space.”   The  exhibition  has  been  influenced  by  theatre  director  Barrie  Kosky,  Pratt  Foundation  chief  executive  Sam  Lipski  and  Radio  National  pre   senter  Dr  Rachael  Kohn.   Mr  Lipski:  “The  Jewish  Museum  acts  as  a  bridge  to  greater  understanding,  promoting  tol  erance  between  all  people  through  appreciation  of  the  richness  and  diversity  of  Jewish  life,  his  tory  and  culture.”   Victorian  Minister  for  the  Arts  and  Education  Mary  Delahunty ",2000-05-19
