"","id","created_time","snippet","headline"
"45",5,"2010-09-11T16:58:55+0000","Thousands of relatives of 9/11 victims gathered as a nation debated whether an Islamic center should be built near ground zero and President Obama pleaded for religious tolerance.","On Sept. 11 Anniversary, Rifts Amid Mourning"
"46",6,"2010-09-10T21:45:17+0000","President Obama gave a call for better relations between Muslims and non-Muslims at home and abroad, defending the “inalienable rights” of those who worship Islam.","Obama Tries to Calm Religious Tensions"
"47",7,"2010-09-09T17:23:57+0000","A small American church’s canceled plan to burn copies of the Koran on Sept. 11 drew condemnations from world leaders and touched off angry protests in corners of the Muslim world.","Planned Koran Burning Drew International Scorn"
"48",8,"2010-09-09T03:39:20+0000","Feisal Abdul Rauf said he would not have proposed a Muslim community center near ground zero if he had known how much pain and strife the plans would cause.","Imam Says Moving Center Could Spur Radicals"
"49",9,"2010-09-08T01:22:13+0000","Religious leaders held an “emergency summit” to denounce bigotry toward Muslim Americans.","Concern Is Voiced Over Religious Intolerance"
"50",10,"2010-08-26T02:06:04+0000","Michael Enright, 21, a film student, was charged with hate crimes in the stabbing of a Muslim taxi driver.","Rider Asks if Cabby Is Muslim, Then Stabs Him"
"51",1,"2010-09-06T01:33:43+0000","Bahraini officials announced that they were charging 23 people, most of them activists from the Shiite majority, with coordinating a violent campaign to overthrow the minority Sunni government.","23 Accused of Coup Plot in Bahrain"
"52",2,"2010-09-04T01:55:17+0000","Members of the World Sufi Foundation, a mosque established in rural Orleans County three decades ago pray for many things — including peace and quiet.","A Mosque Invisible to Many Is a Target"
"53",3,"2010-09-03T21:36:25+0000","The country, which had sought to allow religious figures a greater role in public life, has reversed course.","Syria’s Solidarity With Islamists Ends at Home"
"54",4,"2010-09-03T13:24:08+0000","The explosion, two days after another attack, killed at least 40 people, as militants intensify their campaign to destabilize the Pakistani government.","Suicide Bomber Kills 53 at Shiite Protest"
"55",5,"2010-09-03T01:44:39+0000","A poll has found that even New York City sadly harbors a robust disapproval of the proposal to build a mosque near ground zero.","Mistrust and the Mosque"
"56",6,"2010-09-01T11:20:00+0000","A blast touched off clashes between local police forces and mourners and protesters infuriated by the attack.","Suicide Bombers in Pakistan Kill Dozens of Shiites"
"57",7,"2010-08-21T18:17:20+0000","For much of his life, Feisal Abdul Rauf, who led the proposal for a Muslim center downtown, has found distrust as he tried to reconcile Islam with America and modernism.","For Imam in Muslim Center Furor, a Hard Balancing Act"
"58",8,"2010-08-30T20:39:41+0000","A quest to confirm the death of a loved one — a son, husband, father and brother — took years, along with courage and luck.","Restoring Names to War’s Unknown Casualties"
"59",9,"2010-08-20T01:01:46+0000","Muslim New Yorkers are grappling deeply with the lingering ambiguities of their place in American society nine years after 9/11.","Islamic Center Exposes Mixed Feelings Locally"
"60",10,"2010-08-26T20:36:39+0000","The country appears to be reconsidering its decade-long flirtation with reform following a rash of police detentions.","Crackdown in Bahrain Hints of End to Reforms"
"61",1,"2010-08-26T00:59:55+0000","For some around the world, the dispute over an Islamic center near ground zero is a confirmation of their views.","Looking at Islamic Center Debate, World Sees U.S."
"62",2,"2010-08-26T00:43:43+0000","A Florida minister is drawing support and criticism from around the world for planning an anti-Muslim rally to memorialize the Sept. 11 attacks.","Far From Ground Zero, Obscure Pastor Is Ignored No Longer"
"63",3,"2010-08-24T03:36:29+0000","Adam Serwer, left, of The American Prospect and Eli Lake of The Washington Times debate the danger of radicalization of American Muslims.","Bloggingheads: The Radicalization Threat"
"64",4,"2010-08-05T19:28:53+0000","Geert Wilders, who has campaigned for a ban on the Koran, seemed poised on Thursday to emerge as a prominent player in a new government.","Dutch Opponent of Muslims Gains Ground"
"65",5,"2010-08-23T00:46:14+0000","Rick A. Lazio is making his opposition to a Muslim center a centerpiece of his candidacy for governor of New York.","Lazio Finds an Issue in Furor Over Islamic Center"
"66",6,"2010-08-22T00:48:00+0000","A sampling of claims about the imam behind the proposed Muslim center and mosque near ground zero, with responses from him and others.","Parsing the Record of Feisal Abdul Rauf"
"67",7,"2010-08-21T21:36:36+0000","The Islamic world needs its own Nelson Mandelas to step forward.","Surprise, Surprise, Surprise"
"68",8,"2010-08-21T21:09:38+0000","Obama and Islam: How can America know so little about this president?","Going Mad in Herds"
"69",9,"2010-08-21T21:35:36+0000","The rage over the “ground zero mosque” is not motivated by a serious desire to protect America, but by a desire for an election-season payoff.","How Fox Betrayed Petraeus"
"70",10,"2010-08-11T02:05:57+0000","Planners did not seek the advice of established Muslim organizations experienced in volatile post-9/11 politics.","For Mosque Sponsors, Early Missteps Fueled Storm"
"71",1,"2010-08-21T03:07:25+0000","The State Department sent Imam Feisal Abdul Rauf, organizer of a large Islamic center near ground zero, to promote interfaith tolerance.","Imam Behind New York Project Starts Mideast Tour"
"72",2,"2010-08-21T00:38:01+0000","Some counterterrorism experts said that the sentiment against plans to build an Islamic center near ground zero is playing into the hands of extremists.","U.S. Anti-Islam Protest Seen as Lift for Extremists"
"73",3,"2010-08-07T00:19:03+0000","The Ahmadi Muslim community in the United States has been distributing fliers that present Islam as a religion that abhors violence.","Persecuted Muslim Sect Uses Brochure Campaign to Push for Peace"
"74",4,"2010-08-18T02:30:16+0000","President Obama’s Clintonesque casuistry is making a bad situation worse.","Our Mosque Madness"
"75",5,"2010-08-17T19:49:03+0000","Once considered the badlands, this area now features refurbished brownstones, vintage clothing stores and bakeries.","Local Stop: Bedford-Stuyvesant"
"76",6,"2010-08-17T22:31:44+0000","Stephen Farrell and Anthony Shadid discuss the frustration among Iraq's Sunni Arab minority amid continued political deadlock more than five months after the country's parliamentary election in March.","Iraqi Politics: Sunni Discontent"
"77",7,"2010-07-31T23:18:23+0000","Nine influential scholars have come together in a YouTube video to reject radicalization, an indication that American Muslim leaders are increasingly engaging the war of ideas within Islam.","American Muslims Make Video to Rebut Militants"
"78",8,"2010-08-14T17:54:31+0000","President Obama said that in defending the Islam center near Ground Zero he was not trying to promote the project, but rather sought to make a statement about freedom of religion.","Obama Says Mosque Upholds Principle of Equal Treatment"
"79",9,"2010-08-14T19:44:30+0000","President Obama’s attempt to reframe comments about a community center in New York City had him plunging into a debate about Islam and American identity.","Obama Enters Debate With Mosque Remarks"
"80",10,"2010-08-14T03:13:02+0000","At Masjid Manhattan and Masjid al-Farah, blocks away from each other not far from ground zero, worshipers are baffled by controversy over a proposed Muslim center.","In Lower Manhattan, 2 Mosques Have Firm Roots"
"81",1,"2010-08-14T00:30:56+0000","After weeks of avoiding the high-profile battle, President Obama stepped into the thorny debate, leaving little doubt about how he feels.","Obama Strongly Backs Islam Center Near 9/11 Site"
"82",2,"2010-08-10T13:40:50+0000","With the scarf now worn by the majority of Egyptian women, many are taking the extra stride toward covering their face or rejecting the idea of veiling altogether.","What the Head Scarf Means, When Everyone Wears One"
"83",3,"2010-08-07T23:53:55+0000","Heated conflicts have broken out in communities where mosques are proposed near far less hallowed locations than ground zero.","Across Nation, Mosque Projects Meet Opposition"
"84",4,"2010-08-05T21:25:35+0000","Amitava Kumar’s book is a perceptive and soulful — if at times academic — meditation on the global war on terror and its cultural and human repercussions.","The Global War on Small People"
"85",5,"2010-07-26T11:41:19+0000","The Middle East requires more open debate and the dropping of taboos.","The Forgotten American"
"86",6,"2010-07-23T00:16:13+0000","The board of a Roman Catholic Church on Staten Island voted not to sell a vacant convent to a Muslim organization that planned to use it as a mosque.","Church Rejects Sale of Building for a Mosque"
"87",7,"2010-12-22T02:14:38+0000","A reader responds to a recent article.","Muslims in America"
"88",8,"2010-07-21T19:06:20+0000","A car bomb near a Shiite mosque in a village north of Baghdad exploded among crowds of people on Wednesday, killing at least 13 and wounding 24 others, the police said. ","Car Bomb Kills 13 in Iraqi Village"
"89",9,"2010-08-20T22:38:37+0000","Have questions about Obama’s religion become just another political code?","When Is a Muslim Not a Muslim?"
"90",10,"2006-08-13T04:00:00+0000","""Wars within Islam will shape the future,"" Vali Nasr writes.","Muslim Against Muslim"
"91",1,"2006-08-13T05:00:00+0000","Irshad Manji rev","Muslim Against Muslim"
"92",2,"2010-07-19T00:33:39+0000","Yahya Wehelie, who was prevented for weeks from returning to the United States after studying in Yemen, remains on the no-fly list.","Virginia Man Flies Home on Waiver"
"93",3,"2005-07-08T05:00:00+0000","Thomas L Friedman Op-Ed column says most important aspect of London's jihadist-style bombings is that every Muslim living in Western society suddenly becomes suspect, and Western countries are going to be tempted to crack down even harder on their...","If It's a Muslim Problem, It Needs a Muslim Solution"
"94",4,"2008-11-05T02:37:58+0000","In an attempt to improve relations with the Islamic world, the Vatican opened a three-day Catholic-Muslim seminar on Tuesday.","The Vatican: An Overture to Muslims"
"95",5,"2005-05-10T05:00:00+0000","Article on Friendship Fest in Marrakesh, Morocco, organized by several American evangelical groups and Moroccan government, that drew more than 15,000 Moroccans a day as well as dozens of evangelical Christians from around US; event was staged des...","Christian Rock for Muslims"
"96",6,"2004-03-14T05:00:00+0000","Riverdale businessman A T Alishtari urges fellow Muslims in New York City to take in Muslim children in need of foster care, notion that seems alien to many in culture; city officials also conduct ad campaign to march more children with families o...","A Plea to Foster Families: Keep Muslims Muslim"
"97",7,"2010-12-16T04:23:00+0000","Muslim fanatics give their faith a bad name. Then there’s Dr. Hawa Abdi, who has been described as “equal parts Mother Teresa and Rambo.”","Heroic, Female and Muslim"
"98",8,"2006-12-10T05:00:00+0000","Nicholas D Kristof Op-Ed column criticizes common American 'stereotypes' of Islam; says great majority of world's Muslims live not in Middle East but in Asia, where religion has mostly been milder; describes Brunei, where women fill senior offices...","The Muslim Stereotype"
"99",9,"2006-03-04T05:00:00+0000","","Muslims in America"
"100",10,"2006-08-16T05:00:00+0000","LAST week, the luminaries of the British Muslim mainstream -- lobbyists, lords and members of Parliament -- published an open letter to Prime Minister Tony Blair, telling him that the ''debacle'' of both Iraq and Lebanon provides ''ammunition to e...","Muslim Myopia"
"101",1,"2006-08-16T04:00:00+0000","Whatever their imperial urges, it is not for Tony Blair or George W. Bush to restore Islam’s better angels. That duty — and glory — goes to Muslims.","Muslim Myopia"
"102",2,"2009-06-03T20:58:09+0000","Bloggers attempting to brand Barack Obama as a Muslim have resurfaced.","Muslim Again?"
"103",3,"2005-12-29T05:00:00+0000","","Muslims in Europe"
"104",4,"2006-12-10T05:00:00+0000","I find the common American stereotypes of Islam profoundly warped.","The Muslim Stereotype"
"105",5,"2010-08-19T23:49:34+0000","A fascinating journey along the latitude line in Africa and Asia where Christianity and Islam often meet and clash.","Christians and Muslims"
"106",6,"2010-06-25T15:42:10+0000","Two historians examine Islam’s role in the Middle East, present and past.","The Muslim Past"
"107",7,"2006-12-04T02:40:20+0000","","A Muslim Responds"
"108",8,"2009-06-03T20:58:09+0000","Bloggers attempting to brand Barack Obama as a Muslim have resurfaced.","Muslim Again?"
"109",9,"2008-04-16T15:47:47+0000","","Muslim Moderates"
"110",10,"2001-11-25T05:00:00+0000","Article on Mustafa Durrani, Amir Bagherpour and Noor Merchant, three of nine Muslim cadets at West Point who are interviewed on subjects of Muslims in US military and being Muslim at West Point after Sept 11 terrorist attacks; they are children of...","Muslims in Gray"
"111",1,"2010-08-17T01:03:52+0000","Sufis, our allies within Islam, may be alienated by the fight over the Islamic cultural center.","The Muslims in the Middle"
"112",2,"2006-02-22T05:00:00+0000","In a direct challenge to the international uproar over cartoons lampooning the Prophet Muhammad, the Jordanian journalist Jihad Momani wrote: ''What brings more prejudice against Islam, these caricatures or pictures of a hostage-taker slashing the...","Furor Over Cartoons Pits Muslim Against Muslim"
"113",3,"2001-10-18T05:00:00+0000","Focus on plight of seven Muslim families in Larammie, Wyo, that have been singled out since September 11 terrorist attacks for hate calls and ugly scenes in public; photo (M)","Tough but Hopeful Weeks For the Muslims of Laramie"
"114",4,"2010-07-14T20:12:30+0000","Preachers have emerged over the past decade with a simple message: that being a member of Indonesia’s majority — Muslims — and a maligned minority — Chinese — need not be mutually exclusive.","Chinese Preachers Bridge Indonesia’s Ethnic Gap "
"115",5,"2010-02-13T22:36:24+0000","President Obama has appointed Rashad Hussain, a deputy White House counsel, to be his representative to the Muslim world and the Organization of the Islamic Conference.","U.S. Envoy Is to Be Link to Muslims"
"116",6,"2001-10-07T05:00:00+0000","Article discusses American Muslim teenagers, who feel torn about allegiance to United States, which they feel may be unfairly targeting Islamic nations; they have empathy for Muslims abroad, deep concerns about America's support of Israel and are ...","The 2 Worlds of Muslim American Teenagers"
"117",7,"2006-02-20T05:00:00+0000","Riots over cartoons of the Prophet Muhammad are the latest manifestations of battles that once took place within the West.","History Illuminates the Rage of Muslims"
"118",8,"2005-09-04T05:00:00+0000","IN the four years since Sept. 11, Muslims on Long Island say, they have been waging jihad. And they are saddened, but not surprised, when non-Muslims misunderstand what that means.      ''We do not believe in jihad the way suicide bombers do,'' sa...","For Island's Muslims, a Time to Be Wary"
"119",9,"2010-11-01T16:10:38+0000","A new study examines how doctors and nurses can help Muslim patients when the traditional health care system cannot accommodate their traditions.","Respecting Muslim Patients’ Needs"
"120",10,"2006-04-30T05:00:00+0000","Samantha M Shapiro profile of Amr Khaled, Muslim televangelist who has built audience of millions of mostly young Muslims in Middle East and Europe by telling them how to enjoy life while remaining true to conservative Islamic values, laws and nor...","Ministering to the Upwardly Mobile Muslim"
"121",1,"2010-07-14T12:01:49+0000","France's arguments for banning the veil do not hold up either in law or in common sense.","Veiled Arguments"
"122",2,"2010-07-14T01:56:10+0000","A plan to build a mosque near ground zero has opponents who say the area is sacred ground.","Planned Sign of Tolerance Bringing Division Instead"
"123",3,"2005-06-20T05:00:00+0000","An erotic novel written under a pseudonym might normally struggle to find a mainstream publisher and a wide readership. Not so, it seems, when it is penned by a Muslim woman living in a traditional Arab society. ''The Almond,'' a semi-autobiograph...","A Muslim Woman, a Story of Sex"
"124",4,"2001-10-19T05:00:00+0000","","Influential American Muslims Temper Their Tone"
"125",5,"2006-04-14T05:00:00+0000","Federal officials submit court papers revealing that, contrary to earlier statements, Muslim scholar Tariq Ramadan was not barred from US under clause in USA Patriot Act concerning espousal of terrorism; say case does remain national security matt...","Hearing for Muslim Barred by U.S."
"126",6,"2006-04-14T04:00:00+0000","Papers the government presented at a hearing said that a clause in the USA Patriot Act was not the reason a Swiss Muslim scholar's United States visa was revoked.","Hearing for Muslim Barred by U.S."
"127",7,"2005-08-07T05:00:00+0000","American Muslims are often unable or reluctant to buy homes because traditional mortgage arrangements violate Koranic law forbidding paying or receiving interest on loans; banks in heavily Muslim Detroit area and elsewhere are beginning to offer '...","For Muslims, Loans for the Conscience"
"128",8,"2010-07-13T18:16:41+0000","With approval secured from the lower house of Parliament, the bill faces a vote in September in the Senate, which is expected to pass it.","Parliament Moves France Closer to a Ban on Facial Veils"
"129",9,"2003-10-08T05:00:00+0000","Editorial says that regulating Muslim headgear worn to school is inherently discriminatory, even in defense of secular state, as in France","Muslims in European Schools"
"130",10,"2006-01-19T23:17:05+0000","A. O. Scott reviews ""Looking for Comedy in the Muslim  World,"" written and directed by Albert Brooks.","'Comedy in the Muslim World'"
"131",1,"2006-06-10T05:00:00+0000","Author Anar Ali Op-Ed article holds that arrest of Islamic terrorist cell in Toronto automatically pulled her into debate on terrorism; contends that terrorists and radical Islamists live in different place from her, psychologically and culturally...","The Person Behind the Muslim"
"132",2,"2006-02-26T05:00:00+0000","","Muslims in Southeast Asia"
"133",3,"2005-09-21T05:00:00+0000","Middle Eastern investors in US real estate are increasingly opting for deals that conform to rules of Islamic law, or Shariah, which forbids interest paid on mortgages; Shariah-compliant transactions are structured like lease and have been shown t...","When the Landlord Is Muslim"
"134",4,"2006-04-06T13:40:59+0000","","Luring Muslims to NASCAR"
"135",5,"2003-04-21T05:00:00+0000","Dr Dali Boubakeur, director of Paris Mosque, France's main mosque, is to become president of new council that will represent country's Muslim population before the government; has already incurred wrath of two major Muslim groups on council, Natio...","A Muslim in the Middle in France"
"136",6,"2008-07-14T20:27:23+0000","","China, Muslims and the Genocide"
"137",7,"2009-06-02T05:00:00+0000","Obama must persuade Muslims to view America's existing policies in a new light.","Obama’s Muslim Speech"
"138",8,"2010-11-03T01:20:26+0000","Shanti this.","Muslim, Hindu, Whatever"
"139",9,"2006-06-14T21:23:14+0000","American-born Muslim converts, Shaykh Hamza Yusuf and Imam Zaid Shakir, are rising leaders of Islam in America, Laurie Goodstein reports. (Producer: Brent McDonald)","Homegrown Muslim Leaders"
"140",10,"2001-09-22T05:00:00+0000","The outlook for Pakistan and other Muslim-nation stock markets is not necessarily completely bleak, according to Elizabeth Morrissey, managing partner at Kleiman International Consultants in Washington, depending on how the governments in those co...","Muslim Countries' Opportunity"
"141",1,"2006-10-17T19:26:46+0000","","Muslim Women in Yemen"
"142",2,"2005-07-15T05:00:00+0000","","Muslim doubts on extremism"
"143",3,"2008-04-17T20:52:58+0000","","The Muslim-Catholic Question"
"144",4,"2009-01-28T23:35:15+0000","","Obama’s Outreach to Muslims"
"145",5,"2005-11-13T05:00:00+0000","","Muslims on Riots in France"
"146",6,"2010-10-22T00:17:32+0000","“The Taqwacores” aims for a provocative, anarchic cool by juxtaposing Islam and punk rock.","Muslims Meet Punk"
"147",7,"2005-04-20T08:39:00+0000","Abbas Suan, a devout Muslim who is a member of the Israeli national soccer team, faces racist taunting nearly every time he steps on the field.","A Muslim Plays for Israel"
"148",8,"2007-02-28T03:56:57+0000","Raised a Catholic, Kareem Abdul-Jabbar says his conversion to Islam was spiritual, not political.","On Being Muslim in America"
"149",9,"2006-02-12T05:00:00+0000","","Denmark's problem with Muslims"
"150",10,"2008-06-03T05:00:00+0000","","The paradox of Muslim weakness"
"151",1,"2006-02-17T05:00:00+0000","","An unusual voice for Muslims"
"152",2,"2005-03-03T05:00:00+0000","Thomas L Friedman Op-Ed column says United States must partner with Arabs and Muslims to create free space for war of ideas, or risk another 9/11 attack; says it is no longer possible to ignore lack of democracy in countries as long as they keep p...","Brave, Young and Muslim"
"153",3,"2002-03-06T05:00:00+0000","Thomas L Friedman Op-Ed column considers why Israeli-Palestinian conflict so inflames entire Muslim world; suggests that answer is deeply rooted in Islam's self-perception as most ideal and complete expression of the three great monotheistic relig...","The Core Of Muslim Rage"
"154",4,"2005-11-11T05:00:00+0000","","Who is the 'moderate Muslim'?"
"155",5,"2006-03-22T05:00:00+0000","","UK court rules Muslim girl cannot wear Muslim robes"
"156",6,"2009-06-02T11:49:03+0000","Obama must persuade Muslims to view America's existing policies in a new light.","Obama’s Muslim Speech"
"157",7,"2007-10-16T13:16:33+0000","","Organizing a Muslim Left"
"158",8,"2006-09-10T04:00:00+0000","THE best news in our struggle against terrorism is that we have not been hit at home since the 9/11 attacks. Yet terrorists are patient. We remain a target and must expect another attack.","Giving Muslims Hope"
"159",9,"2005-08-14T05:00:00+0000","With its largely homogeneous population -- 92 percent Caucasian; 65 percent Christian; fewer Muslims than Buddhists -- Australia would seem an unlikely place for Islamic extremists. But after the London bombings, Australia's prime minister, John H...","Australia: Muslims Rein in a Cleric"
"160",10,"2001-10-01T05:00:00+0000","William Safire Op-Ed column sees need for US to cultivate good will of Muslims in its war against terrorism; suggests formation of Muslim foreign legion, including Westerners, would be powerful symbol of Islam's enlistment in campaign against terr...","Essay; For a Muslim Legion"
"161",1,"2010-07-13T17:55:31+0000","Gen. Ray Odierno said that Iranian-backed Shiite militias might increase attacks on American military bases as thousands of American soldiers begin leaving Iraq.","Commander in Iraq Warns of Attacks on U.S. Bases"
"162",2,"2009-12-25T02:34:57+0000","Maj. Nidal Hasan, the Army psychiatrist accused of killing 13 people at Fort Hood, contacted a radical American-born cleric last year to ask about Islamic law.","Muslim Clergyman Speaks"
"163",3,"2006-02-19T05:00:00+0000","Chinese officials cautioned imams in Linxia against inciting their followers as violence over Danish cartoons of Prophet Muhammad continued to ripple through Muslim world; Linxia is city in Gansu Province known as Little Mecca of China; map; photo...","A Spectator's Role for China's Muslims"
